title,link,reviewer,stars,gm,year,sentiment_sentiment_neg,sentiment_sentiment_neu,sentiment_sentiment_pos,sentiment_sentiment_compound,review_length,gm_predicted,gm_predicted_prob
Thoroughbreds,https://www.rogerebert.com/reviews/thoroughbreds-2018,Christy Lemire,3.5,False,2018,-0.17322834645669294,-0.24924924924924952,0.1322314049586777,0.9931982995748939,-0.43228018613764396,False,0.0
The Death of Stalin,https://www.rogerebert.com/reviews/the-death-of-stalin-2018,Glenn Kenny,3.5,False,2018,0.10236220472440949,-0.273273273273273,-0.1322314049586777,-0.9813953488372092,-0.4879990203281901,False,0.0
Police Story,https://www.rogerebert.com/reviews/police-story-1985,Matt Zoller Seitz,4.0,False,1985,0.0,-0.14114114114114074,-0.20661157024793386,-0.9831957989497374,-0.2342640215527798,False,0.15745944
Hondros,https://www.rogerebert.com/reviews/hondros-2018,Nick Allen,3.5,False,2018,-0.3779527559055118,-0.2072072072072073,0.28925619834710714,0.9979994998749689,-0.5058780308596621,False,0.0
Game Night,https://www.rogerebert.com/reviews/game-night-2018,Matt Zoller Seitz,3.5,False,2018,-0.2834645669291339,0.051051051051051566,-0.1570247933884299,0.9601900475118782,-0.4878765613519471,False,0.0
Rogers Park,https://www.rogerebert.com/reviews/rogers-park-2018,Matt Fagerholm,3.5,False,2018,-0.1889763779527559,-0.11111111111111072,-0.04132231404958686,0.9880970242560643,-0.24026451138868488,False,0.136973
The Party,https://www.rogerebert.com/reviews/the-party-2018,Glenn Kenny,3.5,False,2018,-0.45669291338582674,-0.04504504504504503,0.14876033057851235,0.9966991747936987,-0.5704139113397013,False,0.0
Black Panther,https://www.rogerebert.com/reviews/black-panther-2018,Odie Henderson,4.0,False,2018,-0.5275590551181102,0.0690690690690694,0.057851239669421295,0.9992998249562393,-0.0807004653441098,True,0.99985313
A Fantastic Woman,https://www.rogerebert.com/reviews/a-fantastic-woman-2018,Sheila O'Malley,3.5,False,2018,-0.16535433070866146,-0.03903903903903938,-0.16528925619834722,0.9488872218054516,-0.33712956159686513,False,0.102244705
24 Frames,https://www.rogerebert.com/reviews/24-frames-2018,Godfrey Cheshire,4.0,False,2018,-0.8267716535433071,0.42942942942942963,-0.12396694214876036,0.9991997999499878,-0.1876071516042126,True,0.68913317
Have a Nice Day,https://www.rogerebert.com/reviews/have-a-nice-day-2018,Simon Abrams,4.0,False,2018,-0.4173228346456693,0.051051051051051566,-0.024793388429751984,0.9938984746186549,-0.440852314474651,False,8.2230795e-38
The Insult,https://www.rogerebert.com/reviews/the-insult-2018,Godfrey Cheshire,4.0,False,2018,-0.26771653543307083,0.07507507507507505,-0.2148760330578513,0.9518879719929985,-0.33774185647807986,False,0.12813877
In Between,https://www.rogerebert.com/reviews/in-between-2018,Susan Wloszczyna,3.5,False,2018,-0.2834645669291339,0.1351351351351351,-0.28099173553719015,0.9210802700675171,-0.43791329904482,False,8.9984125e-05
