momentum,learning_rate,hidden_dim,epochs,dropout_rate,batch_size,best_vloss,best_epoch,training_f1_score,testing_f1_score
0.0,0.005,4,150,0.30000000000000004,8,0.6316303014755249,0,0.22519238558120697,0.22366288492706646
1.0,0.015,32,350,0.30000000000000004,32,0.36651164293289185,211,0.0,0.0
1.0,0.01,4,250,0.2,8,0.37678608298301697,67,0.22519238558120697,0.22366288492706646
0.4,0.02,4,250,0.15000000000000002,4,0.5018771886825562,200,0.536256323777403,0.3285714285714286
0.8,0.015,16,200,0.1,8,0.4898994565010071,9,0.7500000000000001,0.2545454545454546
0.7000000000000001,0.02,4,50,0.1,4,0.5154966711997986,45,0.468265162200282,0.3204419889502762
1.0,0.015,32,200,0.25,8,0.3767700791358948,46,0.22519238558120697,0.22366288492706646
0.30000000000000004,0.015,16,50,0.4,32,0.6559861302375793,44,0.22671063478977738,0.22405271828665566
0.2,0.02,8,350,0.4,8,0.5354889035224915,168,0.4741641337386018,0.3333333333333333
0.30000000000000004,0.02,4,450,0.35000000000000003,16,0.5459615588188171,393,0.47846889952153104,0.3355704697986577
0.6000000000000001,0.01,16,450,0.05,32,0.5540125370025635,406,0.4429347826086957,0.32
0.2,0.005,16,200,0.35000000000000003,32,0.670482337474823,21,0.22519238558120697,0.22366288492706646
0.30000000000000004,0.01,8,250,0.4,16,0.6410467624664307,202,0.34237995824634654,0.2869198312236287
0.6000000000000001,0.02,16,50,0.0,32,0.6260654926300049,48,0.3157010915197313,0.24749163879598662
0.6000000000000001,0.015,8,100,0.15000000000000002,8,0.5144563317298889,61,0.4606240713224368,0.32142857142857145
0.2,0.01,32,400,0.1,8,0.5359007716178894,218,0.443609022556391,0.30051813471502586
0.8,0.02,16,350,0.4,32,0.5276539921760559,240,0.47251114413075784,0.3375
0.30000000000000004,0.005,32,150,0.35000000000000003,8,0.5905536413192749,140,0.3626126126126126,0.30136986301369867
0.6000000000000001,0.01,16,450,0.35000000000000003,32,0.5603640079498291,401,0.4220963172804532,0.32558139534883723
0.6000000000000001,0.01,16,100,0.30000000000000004,8,0.5488066673278809,89,0.3847926267281106,0.2966507177033493
0.8,0.01,4,200,0.4,4,0.4696056544780731,118,0.49923430321592643,0.32051282051282043
